"tahun","bulan","kabupaten_kota","jumlah_korban_anak","jumlah_korban_perempuan","jumlah_korban"
2020,1,"Jakarta Pusat",5,5,10
2020,1,"Jakarta Utara",20,8,28
2020,1,"Jakarta Barat",11,4,15
2020,1,"Jakarta Selatan",9,5,14
2020,1,"Jakarta Timur",23,12,35
2020,1,"Klien Luar Prov. DKI",0,0,0
2020,2,"Jakarta Pusat",2,3,5
2020,2,"Jakarta Utara",22,8,30
2020,2,"Jakarta Barat",10,7,17
2020,2,"Jakarta Selatan",8,8,16
2020,2,"Jakarta Timur",5,12,17
2020,2,"Klien Luar Prov. DKI",0,0,0
2020,3,"Jakarta Pusat",6,7,13
2020,3,"Jakarta Utara",12,31,43
2020,3,"Jakarta Barat",15,2,17
2020,3,"Jakarta Selatan",6,9,15
2020,3,"Jakarta Timur",23,12,35
2020,3,"Klien Luar Prov. DKI",0,0,0
2020,4,"Jakarta Pusat",1,3,4
2020,4,"Jakarta Utara",1,4,5
2020,4,"Jakarta Barat",9,3,12
2020,4,"Jakarta Selatan",7,6,13
2020,4,"Jakarta Timur",9,10,19
2020,4,"Klien Luar Prov. DKI",0,1,1
2020,5,"Jakarta Pusat",2,5,7
2020,5,"Jakarta Utara",1,4,5
2020,5,"Jakarta Barat",5,4,9
2020,5,"Jakarta Selatan",5,7,12
2020,5,"Jakarta Timur",8,4,12
2020,5,"Klien Luar Prov. DKI",0,0,0
2020,6,"Jakarta Pusat",2,6,8
2020,6,"Jakarta Utara",16,35,51
2020,6,"Jakarta Barat",17,11,28
2020,6,"Jakarta Selatan",8,5,13
2020,6,"Jakarta Timur",16,15,31
2020,6,"Klien Luar Prov. DKI",0,0,0
2020,7,"Jakarta Pusat",8,2,10
2020,7,"Jakarta Utara",6,2,8
2020,7,"Jakarta Barat",2,12,14
2020,7,"Jakarta Selatan",16,9,25
2020,7,"Jakarta Timur",22,12,34
2020,7,"Klien Luar Prov. DKI",0,0,0
2020,8,"Jakarta Pusat",5,2,7
2020,8,"Jakarta Utara",1,8,9
2020,8,"Jakarta Barat",6,7,13
2020,8,"Jakarta Selatan",11,8,19
2020,8,"Jakarta Timur",15,15,30
2020,8,"Klien Luar Prov. DKI",0,0,0
2020,9,"Jakarta Pusat",0,7,7
2020,9,"Jakarta Utara",1,2,3
2020,9,"Jakarta Barat",5,5,10
2020,9,"Jakarta Selatan",13,7,20
2020,9,"Jakarta Timur",4,15,19
2020,9,"Klien Luar Prov. DKI",0,0,0
2020,10,"Jakarta Pusat",2,2,4
2020,10,"Jakarta Utara",2,3,5
2020,10,"Jakarta Barat",7,6,13
2020,10,"Jakarta Selatan",5,5,10
2020,10,"Jakarta Timur",4,8,12
2020,10,"Klien Luar Prov. DKI",0,0,0
2020,11,"Jakarta Pusat",1,2,3
2020,11,"Jakarta Utara",7,7,14
2020,11,"Jakarta Barat",12,8,20
2020,11,"Jakarta Selatan",12,9,21
2020,11,"Jakarta Timur",9,5,14
2020,11,"Klien Luar Prov. DKI",0,0,0
2020,12,"Jakarta Pusat",3,4,7
2020,12,"Jakarta Utara",12,1,13
2020,12,"Jakarta Barat",10,6,16
2020,12,"Jakarta Selatan",6,7,13
2020,12,"Jakarta Timur",4,10,14
2020,12,"Klien Luar Prov. DKI",0,0,0
