tahun,bulan,jenis_pelayanan,jumlah_korban_kekerasan_thd_perempuan_anak_berdasarkan_jenis_pelayanan_yang_diberikan
2020,08,Pemeriksaan Psikologi,49
2020,08,Konseling,34
2020,08,Hasil Pemeriksaan Psikologi,14
2020,08,Pendampingan Psikologi,16
2020,08,Pengukuran Awal,52
2020,08,Psikoedukasi/Psikososial,87
2020,08,Saksi Ahli,0
2020,08,Konsultasi Hukum,259
2020,08,Pendampingan Kepolisian,31
2020,08,Pendampingan Pengadilan,14
2020,08,Penjangkauan Paralegal URC,11
2020,08,Penjangkauan Paralegal Pusat,2
2020,08,Penjangkauan Pos Pengaduan,11
2020,08,Mediasi,0
2020,08,Rujukan Rumah Aman/Shelter,1
2020,08,Pemulangan,1
2020,08,Hospital Visit,4
2020,08,School Visit,0
2020,08,Home Visit ,5
2020,08,Penjangkauan Pendamping Korban,4
2020,08,Pendampingan Pendamping Korban,1
2020,08,Pelayanan Medis,1
