tahun,bulan,jenis_pelayanan,jumlah_korban_kekerasan_thd_perempuan_anak_berdasarkan_jenis_pelayanan_yang_diberikan
2020,12,Pemeriksaan Psikologi,39
2020,12,Konseling,40
2020,12,Hasil Pemeriksaan Psikologi,13
2020,12,Pendampingan Psikologi,25
2020,12,Pengukuran Awal,35
2020,12,Psikoedukasi/Psikososial,76
2020,12,Assesmsen Resiko,1
2020,12,Saksi Ahli,0
2020,12,Konsultasi Hukum,200
2020,12,Pendampingan Kepolisian,59
2020,12,Pendampingan Pengadilan,27
2020,12,Penjangkauan Paralegal URC,7
2020,12,Penjangkauan Paralegal Pusat,9
2020,12,Penjangkauan Pos Pengaduan,4
2020,12,Mediasi,1
2020,12,Rujukan Rumah Aman/Shelter,1
2020,12,Pemulangan,1
2020,12,Hospital Visit,4
2020,12,School Visit,0
2020,12,Home Visit ,3
2020,12,Penjangkauan Pendamping Korban,0
2020,12,Pendampingan Pendamping Korban,6
2020,12,Pelayanan Medis,0
