tahun,bulan,jenis_pelayanan,jumlah_korban_kekerasan_thd_perempuan_anak_berdasarkan_jenis_pelayanan_yang_diberikan
2020,07,Pemeriksaan Psikologi,92
2020,07,Konseling,72
2020,07,Hasil Pemeriksaan Psikologi,13
2020,07,Pendampingan Psikologi,49
2020,07,Pengukuran Awal,42
2020,07,Psikoedukasi/Psikososial,88
2020,07,Saksi Ahli,1
2020,07,Konsultasi Hukum,273
2020,07,Pendampingan,26
2020,07,Pendampingan Kepolisian,104
2020,07,Pendampingan Pengadilan,33
2020,07,Penjangkauan Paralegal URC,27
2020,07,Penjangkauan Paralegal Pusat,9
2020,07,Penjangkauan Pendamping Pos,0
2020,07,Mediasi,0
2020,07,Rujukan Rumah Aman/Shelter,3
2020,07,Pemulangan,2
2020,07,Hospital Visit,9
2020,07,School Visit,1
2020,07,Home Visit ,12
2020,07,Penjangkauan Pendamping Korban,1
2020,07,Pendampingan Pendamping Korban,14
2020,07,Pelayanan Medis,1
