tahun,bulan,jenis_pelayanan,jumlah_korban_kekerasan_thd_perempuan_anak_berdasarkan_jenis_pelayanan_yang_diberikan
2020,10,Pemeriksaan Psikologi,37
2020,10,Konseling,39
2020,10,Hasil Pemeriksaan Psikologi,14
2020,10,Pendampingan Psikologi,38
2020,10,Pengukuran Awal,28
2020,10,Psikoedukasi/Psikososial,57
2020,10,Assesmsen Resiko,5
2020,10,Saksi Ahli,0
2020,10,Konsultasi Hukum,268
2020,10,Pendampingan Kepolisian,114
2020,10,Pendampingan Pengadilan,48
2020,10,Penjangkauan Paralegal URC,36
2020,10,Penjangkauan Paralegal Pusat,3
2020,10,Penjangkauan Pos Pengaduan,10
2020,10,Mediasi,6
2020,10,Rujukan Rumah Aman/Shelter,1
2020,10,Pemulangan,11
2020,10,Hospital Visit,0
2020,10,School Visit,1
2020,10,Home Visit ,4
2020,10,Penjangkauan Pendamping Korban,1
2020,10,Pendampingan Pendamping Korban,6
2020,10,Pelayanan Medis,0
