tahun,bulan,jenis_pelayanan,jumlah_korban_kekerasan_thd_perempuan_anak_berdasarkan_jenis_pelayanan_yang_diberikan
2020,09,Pemeriksaan Psikologi,105
2020,09,Konseling,63
2020,09,Hasil Pemeriksaan Psikologi,27
2020,09,Pendampingan Psikologi,27
2020,09,Pengukuran Awal,39
2020,09,Psikoedukasi/Psikososial,79
2020,09,BAP Ahli,1
2020,09,Saksi Ahli,2
2020,09,Konsultasi Hukum,280
2020,09,Pendampingan ,20
2020,09,Pendampingan Kepolisian,38
2020,09,Pendampingan Pengadilan,43
2020,09,Penjangkauan Paralegal URC,9
2020,09,Penjangkauan Paralegal Pusat,2
2020,09,Penjangkauan Pos Pengaduan,22
2020,09,Mediasi,3
2020,09,Rujukan Rumah Aman/Shelter,9
2020,09,Pemulangan,7
2020,09,Hospital Visit,5
2020,09,School Visit,0
2020,09,Home Visit ,2
2020,09,Penjangkauan Pendamping Korban,2
2020,09,Pendampingan Pendamping Korban,9
2020,09,Pelayanan Medis,3
